,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,Satellite,Team,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
20,1634,,8,1,2,,2021-10-21 18:10:37+00:00,,,,Methane,278.21,3032,,,1012,UT 1 sigma,2.606,-86.2,,,,2021-10-21 18:10:37+00:00,,Landsat 8/UPV,Landsat 8,UPV,1,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,2021-10-21 17:55:38+00:00,0,2003,3552.435,TRUE,14.98333333,TRUE,TP,1,4174.791842,3945.54336,4407.037493,4172.962037,3942.60889,4407.687809,4175.517365,3952.037979,4401.049966,4201.313692,3959.485464,4446.15845,4174.898688,3944.86264,4409.883916
21,1651,,25,1,1,,2021-10-21 18:10:37+00:00,,,,Methane,319,2171,4958,626,1-sigma confidence interval,+/- 1 sigma,2.2,6,189,,,2021-10-21 18:10:37+00:00,,Landsat 8/Kayrros,Landsat 8,Kayrros,1,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,2021-10-21 17:55:38+00:00,0,2003,3552.435,TRUE,14.98333333,TRUE,TP,1,4176.607112,3946.761196,4410.63058,4173.99233,3946.559247,4407.068147,4176.75426,3946.455856,4415.792772,4201.030453,3964.312726,4445.22243,4175.576898,3947.988368,4407.413185
22,1667,,41,,,,2021-10-21 18:10:37+00:00,,,,Methane,490,1810,1418,2110,Min/max,Min/max,2.2 [1.7-2.4],186,,,,2021-10-21 18:10:37+00:00,,Landsat 8/SRON,Landsat 8,SRON,1,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,2021-10-21 17:55:38+00:00,0,2003,3552.435,TRUE,14.98333333,TRUE,TP,1,4175.889914,3947.973226,4411.299449,4177.41923,3947.461187,4407.232813,4176.07368,3948.152173,4409.553123,4202.808903,3961.200718,4441.217418,4174.122464,3944.961136,4403.579071
23,1682,,8,1,2,,2021-10-21 18:10:37+00:00,,,,Methane,278.21,4085,18:10:37.5283260Z,178.88,1531,UT 1 sigma,3.98,,,,,2021-10-21 18:10:37+00:00,,Landsat 8/UPV,Landsat 8,UPV,2,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,2021-10-21 17:55:38+00:00,0,2003,3552.435,TRUE,14.98333333,TRUE,TP,1,4176.860811,3952.55707,4414.262238,4174.157422,3943.546126,4409.788362,4175.551145,3945.29739,4402.081501,4199.580712,3960.270294,4444.918357,4174.119606,3940.020481,4401.714849
24,1699,,25,1,1,,2021-10-21 18:10:37+00:00,,,,Methane,319,3234,3921,2547,1-sigma confidence interval,+/- 1 sigma,3.9,47.46,189,,,2021-10-21 18:10:37+00:00,,Landsat 8/Kayrros,Landsat 8,Kayrros,2,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,2021-10-21 17:55:38+00:00,0,2003,3552.435,TRUE,14.98333333,TRUE,TP,1,4175.88377,3952.108115,4413.774179,4174.982574,3949.456391,4407.725825,4175.449113,3948.607689,4408.189358,4199.91784,3959.820358,4442.132648,4174.253421,3948.625764,4407.266727
25,1715,,41,,,,2021-10-21 18:10:37+00:00,,,,Methane,490,2780,2450,3170,Min/max,Min/max,4.1 [3.9-4.4] ,221,,,,2021-10-21 18:10:37+00:00,,Landsat 8/SRON,Landsat 8,SRON,2,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,2021-10-21 17:55:38+00:00,0,2003,3552.435,TRUE,14.98333333,TRUE,TP,1,4177.121717,3945.72896,4410.374379,4176.519697,3945.004098,4411.412279,4174.937548,3945.655953,4411.020746,4200.379095,3963.179656,4438.600091,4174.21974,3942.305305,4409.877765
26,1635,,9,1,1,,2021-10-22 18:34:54+00:00,,,,Methane,164.92,3005,,,1011,UT 1 sigma,2.371,8.6,,,,2021-10-22 18:34:54+00:00,,Sentinel-2/UPV,Sentinel-2,UPV,1,,92870.1,4,218645,92870.1,FALSE,,92537.35667,92536.415,92699.32778,93015.67433,93858.35217,AZ,2021-10-22 18:16:57+00:00,0,2004,2148.9,TRUE,17.95,TRUE,TP,1,1670.141496,1578.909862,1763.340791,1669.124635,1578.026564,1760.908003,1673.488537,1582.731667,1768.053444,1678.18393,1587.707845,1771.818601,1693.436543,1601.36547,1788.839009
27,1645,,19,1,1,,2021-10-22 18:34:54+00:00,,,,Methane,0,0,,,,,,,,,,2021-10-22 18:34:54+00:00,,Sentinel-2/Kayrros,Sentinel-2,Kayrros,1,,92870.1,4,218645,92870.1,FALSE,,92537.35667,92536.415,92699.32778,93015.67433,93858.35217,AZ,2021-10-22 18:16:57+00:00,0,2004,2148.9,TRUE,17.95,TRUE,TP,1,1669.727396,1578.493398,1760.347728,1670.060736,1578.859756,1762.357583,1672.636707,1581.341971,1766.628137,1677.873766,1586.168747,1771.478963,1693.275132,1601.752386,1788.620011
28,1659,,33,1,1,,2021-10-22 18:34:54+00:00,,,,Methane,148,2102,3056,1148,+/- 1 sigma,+/- 1 sigma,1.764591,269.780224,UnknownSentinel2Direction,,,2021-10-22 18:34:54+00:00,,Sentinel-2/Harvard,Sentinel-2,Harvard,1,,92870.1,4,218645,92870.1,FALSE,,92537.35667,92536.415,92699.32778,93015.67433,93858.35217,AZ,2021-10-22 18:16:57+00:00,0,2004,2148.9,TRUE,17.95,TRUE,TP,1,1669.335856,1577.44719,1762.242051,1670.322875,1577.811803,1765.388991,1672.563479,1582.936429,1766.47296,1677.862041,1586.74866,1772.161759,1693.633428,1600.416063,1789.89906
29,1668,,42,,,,2021-10-22 18:34:54+00:00,,,,Methane,330,1160,570,2590,Min/max,Min/max,1.4 [0.6-3.2],92,,,,2021-10-22 18:34:54+00:00,,Sentinel-2/SRON,Sentinel-2,SRON,1,,92870.1,4,218645,92870.1,FALSE,,92537.35667,92536.415,92699.32778,93015.67433,93858.35217,AZ,2021-10-22 18:16:57+00:00,0,2004,2148.9,TRUE,17.95,TRUE,TP,1,1670.009686,1580.120269,1765.013982,1670.123603,1578.038484,1763.585241,1672.770713,1581.834601,1766.661691,1678.29406,1587.273348,1768.97896,1693.866018,1602.122176,1791.103472
