plume_id,emission_source_id,wind_independent_emission_rate_kghmps,wind_mps
797,672,143.9947623,5.488424778
798,672,127.7828348,5.488424778
801,826,24.99564723,5.79861021
802,826,29.34895299,5.79861021
803,646,20.05850485,5.780091286
806,646,75.98306707,5.780091286
809,639,17.81935241,5.291665554
810,639,13.29299099,5.291665554
812,933,23.51181627,5.291665554
815,982,9.734146604,5.291665554
816,983,61.5505523,5.291665554
817,827,9.987679718,5.638887882
818,827,11.18142878,5.638887882
819,823,12.16758684,5.291665554
820,828,1611.901008,4.520832062
825,670,72.4167642,4.518786907
826,670,27.58907723,4.518786907
827,670,20.35908368,4.69225502
828,829,24.05998714,4.776979446
830,829,33.30379559,4.136842728
832,830,25.36190226,6.560183525
833,831,20.39836601,4.948275566
841,832,11.37695522,7.029119492
842,833,18.90310861,5.469108105
843,833,12.36612511,7.245368481
844,833,8.307480547,5.469108105
848,834,12.60505765,3.502583265
853,835,10.20510076,4.152776718
862,823,9.481149228,5.291665554
864,924,18.23327424,5.497684002
865,836,16.74093076,5.365739822
870,984,16.93747496,5.291665554
872,837,24.23976757,5.770034313
875,986,10.59535729,5.857997417
880,838,17.25618428,5.170497894
881,839,6.218939002,7.330931664
952,840,28.99284817,2.367955446
953,841,13.34306802,2.918881416
954,842,27.34930969,3.413497925
955,842,18.83612072,3.413497925
956,842,31.71343166,3.413497925
957,843,52.23553744,2.27692318
958,843,99.09992583,2.27692318
959,843,131.9923543,2.27692318
960,844,392.9616225,2.283867836
961,845,49.3039972,3.141103745
962,846,51.5008956,2.81471467
963,846,42.64066902,2.81471467
964,652,29.30582283,2.657307386
965,673,10.06484503,2.805455446
966,673,25.07852099,2.805455446
967,673,12.84412012,2.805455446
968,847,15.59123747,2.50840497
969,674,20.28324715,2.751460552
970,674,7.734314772,2.751460552
972,848,15.43679187,1.966738105
980,849,33.56241829,2.81471467
981,849,10.77051769,2.81471467
983,850,9.861928018,2.805455446
984,851,16.25939595,2.520733118
987,941,23.38145198,2.81471467
990,852,15.35522612,2.516103506
991,853,22.24677845,2.516103506
992,987,12.96431552,3.131844521
995,660,22.78718879,11.10046196
1000,990,12.27728347,2.150034666
1003,857,11.52337871,3.132958889
1004,853,195.3893368,3.172310829
1009,858,38.36303791,3.237125635
1010,655,15.60662384,3.267218113
1011,654,59.1840261,3.267218113
1012,654,47.99209126,3.267218113
1013,650,44.95879723,3.267218113
1017,859,26.91952684,3.114440441
1018,860,23.33874636,3.114440441
1020,854,12.73607664,3.160736561
1022,861,33.17540793,4.187538624
1030,883,26.41986635,11.37360954
1034,862,81.09329887,11.30416489
1035,664,16.02122874,6.688675404
1045,865,8.724712503,3.812538385
1046,865,5.034257091,3.812538385
1051,709,19.00573993,11.19768429
1055,866,70.32476989,2.716292143
1056,866,57.61294615,3.875038385
1059,867,21.3750353,4.020871639
1060,867,14.70758069,4.020871639
1063,868,177.2754024,3.791705132
1064,869,18.2631548,3.706056833
1068,794,46.28362128,2.480180979
1070,978,15.30142936,6.2015872
1073,993,7.531325668,6.143716812
1074,870,19.96787971,6.143716812
1076,985,9.287293325,2.487125635
1077,871,105.2293804,3.832712173
1081,872,71.0273524,3.830397606
1082,994,14.52252891,3.830397606
1083,676,23.30804383,3.619749546
1086,884,16.51686661,5.674994946
1087,873,23.60580702,4.601588249
1091,874,16.62183896,4.796032906
1093,875,13.24425395,4.601588249
1094,876,14.88768579,5.674994946
1095,876,19.83356308,5.674994946
1096,877,11.23753883,5.05529213
1101,885,26.10714745,7.70045805
