,Stanford_timestamp,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UnblindingStage,PipeSize_inch,MeterCode,PlumeEstablished,PlumeSteady,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,Operator_Timestamp
331,2021-08-03 17:15:54+00:00,721.4911246755322,678.3947128365729,767.7571608048454,265.4033915,351.5646842,179.2420989,2,4.0,218645.0,True,True,718.6266663280758,676.2349929047215,763.5946291750072,720.8645822891226,678.3518563304975,768.7252031337329,2021-08-03 17:16:18+00:00
332,2021-08-03 17:15:54+00:00,721.5182600133709,679.3581636580948,767.0669612364716,244.1337088,297.868894,190.3985236,3,4.0,218645.0,True,True,718.7702809021987,675.6419244694367,764.751389997081,720.6971810496226,677.5776170921362,767.0464286771811,2021-08-03 17:16:18+00:00
333,2021-08-03 17:18:14+00:00,708.7093859304783,665.9201689269175,753.3265255854461,155.3687905,225.8846064,84.85297457,1,4.0,218645.0,True,True,709.0609917743476,667.1246822475658,754.6063712382014,707.9364520105952,666.1288607446319,753.0125849540017,2021-08-03 17:18:34+00:00
334,2021-08-03 17:18:14+00:00,708.6708476143372,666.3014410609172,753.76033794097,246.58017880000003,279.554198,213.60615959999998,2,4.0,218645.0,True,True,708.8601815995584,665.8895853522016,755.2648015861606,708.6036295534667,666.8761958643103,754.3320835943825,2021-08-03 17:18:34+00:00
335,2021-08-03 17:18:14+00:00,709.228653086975,667.5594906111985,754.3475096392946,293.5969256,321.7553084,265.43854280000005,3,4.0,218645.0,True,True,708.5622841735787,666.7932861204541,754.6144804585529,708.2860677552495,665.5629656122878,753.5803274988875,2021-08-03 17:18:34+00:00
336,2021-08-03 17:20:36+00:00,702.6686868883841,660.5214574610295,748.1939887818318,179.8251822,277.3255458,82.32481864,1,4.0,218645.0,True,True,700.4807657934615,658.0968088319877,745.8223331961451,702.3748392430479,661.1687264492343,747.6974934656314,2021-08-03 17:20:53+00:00
337,2021-08-03 17:20:36+00:00,702.7461309312141,660.3857188724655,746.9453314491611,291.9523212,394.1692646,189.7353778,2,4.0,218645.0,True,True,700.2391903423155,658.4873591821587,745.1133326581041,702.0054038194885,659.9301511717366,746.7183569153075,2021-08-03 17:20:53+00:00
338,2021-08-03 17:20:36+00:00,702.7997402257203,661.0029932378811,748.3008722788088,496.2778891,576.1625366000001,416.3932416,3,4.0,218645.0,True,True,700.8917434312608,658.5994038081025,746.4777540584768,702.1842852869295,660.3560320491439,747.7741843286751,2021-08-03 17:20:53+00:00
339,2021-08-03 17:22:58+00:00,695.3605754486642,654.3539325183713,739.7769906065924,122.1152037,179.8027551,64.42765229,1,4.0,218645.0,True,True,695.1275543337,653.7256591193186,739.3932863518589,695.0033612914461,653.3851796938484,739.8978377375967,2021-08-03 17:23:15+00:00
340,2021-08-03 17:22:58+00:00,695.5487587874501,653.8444699070063,740.3914433250204,114.7608863,145.0298543,84.49191833,2,4.0,218645.0,True,True,694.9548359845123,653.5422448051174,739.8557552609093,695.1585600512509,653.9706921516841,739.5960424243192,2021-08-03 17:23:15+00:00
341,2021-08-03 17:22:58+00:00,695.774620908086,653.9750961384259,741.0435611246954,172.1099278,208.0924281,136.12742749999998,3,4.0,218645.0,True,True,695.0468403388924,653.3843869515792,740.6485855515975,695.5911147977195,652.9492976502601,741.0312054670268,2021-08-03 17:23:15+00:00
342,2021-08-03 17:25:06+00:00,686.9389555136803,645.301423604783,731.9536222061057,171.15882390000002,250.956575,91.36107276,1,4.0,218645.0,True,True,685.4631175834686,644.5116014244906,730.5434239421108,685.729161319119,645.1523618100015,729.8962095809275,2021-08-03 17:25:26+00:00
343,2021-08-03 17:25:06+00:00,687.0484912166895,645.1280593277395,732.244879393627,148.6144743,199.8065121,97.42243657,2,4.0,218645.0,True,True,684.8683945386177,643.6088990601505,729.4983948142497,685.8726018730052,644.142220207505,729.9445387456192,2021-08-03 17:25:26+00:00
344,2021-08-03 17:25:06+00:00,687.195653290269,646.5472309032966,731.819316570565,169.2595497,222.40762880000003,116.1114707,3,4.0,218645.0,True,True,685.1305442376284,644.0816186545894,730.0726987980271,685.7941497675125,645.6408857582561,729.5454389490022,2021-08-03 17:25:26+00:00
345,2021-08-03 17:27:19+00:00,679.4257929906277,639.1152188103229,723.5992438652238,200.1185286,303.5223169,96.7147403,1,4.0,218645.0,True,True,678.0659134935773,637.7025049926734,722.6022970731598,678.5219196260073,637.625272637662,721.9100178017803,2021-08-03 17:27:57+00:00
346,2021-08-03 17:27:19+00:00,679.6815156070395,639.3264496942743,723.5900055540665,227.50682,314.54620589999996,140.46743419999999,2,4.0,218645.0,True,True,677.7337114161672,637.2108056185065,722.0085097510537,678.5297451326951,637.3847331511821,722.1156053191888,2021-08-03 17:27:57+00:00
347,2021-08-03 17:27:19+00:00,679.1032701527072,639.7379177336596,721.9667807575325,232.7175676,297.1599463,168.2751889,3,4.0,218645.0,True,True,677.8191352852115,637.1169066214297,721.712902817943,678.272721593612,638.0935607425416,720.7990860736465,2021-08-03 17:27:57+00:00
348,2021-08-03 17:29:08+00:00,673.3312746456604,633.7293931340612,716.334674933593,195.9566731,312.2129378,79.7004084,1,4.0,218645.0,True,True,672.0058698772672,631.6002303138047,716.3037560291017,672.6295844661515,633.0390235700831,716.4549923952834,2021-08-03 17:29:26+00:00
349,2021-08-03 17:29:08+00:00,673.3428603062019,632.8105996056887,717.5979466496258,208.1035271,297.320879,118.88617520000001,2,4.0,218645.0,True,True,671.8854758318598,631.9198372940976,715.5746278664992,673.0843462314201,632.3962127376763,716.4288419710172,2021-08-03 17:29:26+00:00
350,2021-08-03 17:29:08+00:00,673.0756871700949,632.6508671211886,716.5621737489423,297.1452505,347.8584372,246.43206380000004,3,4.0,218645.0,True,True,671.888753506339,631.3952661833723,715.2442658849433,672.5026332328353,632.4209748559006,716.0880051623215,2021-08-03 17:29:26+00:00
351,2021-08-03 17:30:53+00:00,667.6617694333544,627.8735439016568,711.4855256979353,344.8723857,528.8077307,160.9370407,1,4.0,218645.0,True,True,666.2553593371568,625.9718561952367,710.0281246532008,665.9317990811926,625.5061375183673,709.3083772147527,2021-08-03 17:31:16+00:00
