timestamp,channel 1,channel 2,channel 3,channel 4
11/03/2021 16:27:52,-15.8,-212.3,,
11/03/2021 16:27:53,-15.7,-211,,
11/03/2021 16:27:54,-15.8,-211.6,,
11/03/2021 16:27:55,-15.7,-212.8,,
11/03/2021 16:27:56,-15.6,-213,,
11/03/2021 16:27:57,-15.6,-214.2,,
11/03/2021 16:27:58,-15.7,-213.5,,
11/03/2021 16:27:59,-15.6,-214,,
11/03/2021 16:28:00,-15.7,-213.2,,
11/03/2021 16:28:01,-15.9,-213.6,,
11/03/2021 16:28:02,-15.7,-213,,
11/03/2021 16:28:03,-15.7,-212.4,,
11/03/2021 16:28:04,-15.6,-210.9,,
11/03/2021 16:28:05,-15.7,-210.4,,
11/03/2021 16:28:06,-15.6,-210.5,,
11/03/2021 16:28:07,-16.4,-210.7,,
11/03/2021 16:28:08,-16.4,-211.9,,
11/03/2021 16:28:09,-16.1,-212.2,,
11/03/2021 16:28:10,-16.1,-210.7,,
11/03/2021 16:28:11,-16.4,-211.5,,
11/03/2021 16:28:12,-16.5,-210.6,,
11/03/2021 16:28:13,-16.7,-211.1,,
11/03/2021 16:28:14,-16.3,-211.6,,
11/03/2021 16:28:15,-16,-210.3,,
11/03/2021 16:28:16,-15.9,-210.4,,
11/03/2021 16:28:17,-15.7,-210.6,,
11/03/2021 16:28:18,-15.8,-210.3,,
11/03/2021 16:28:19,-15.6,-210.4,,
11/03/2021 16:28:20,-15.6,-210.2,,
11/03/2021 16:28:21,-15.6,-210.7,,
11/03/2021 16:28:22,-15.7,-210.5,,
11/03/2021 16:28:23,-15.7,-209.9,,
11/03/2021 16:28:24,-15.8,-209.2,,
11/03/2021 16:28:25,-15.7,-209.6,,
11/03/2021 16:28:26,-15.6,-211,,
11/03/2021 16:28:27,-15.6,-210.6,,
11/03/2021 16:28:28,-15.5,-210.4,,
11/03/2021 16:28:29,-15.5,-210.1,,
11/03/2021 16:28:30,-15.5,-208.9,,
11/03/2021 16:28:31,-15.5,-210.8,,
11/03/2021 16:28:32,-15.5,-209.6,,
11/03/2021 16:28:33,-15.6,-208.7,,
11/03/2021 16:28:34,-15.7,-207.9,,
11/03/2021 16:28:35,-15.7,-208.5,,
11/03/2021 16:28:36,-15.6,-208.7,,
11/03/2021 16:28:37,-15.6,-208.4,,
11/03/2021 16:28:38,-15.6,-208.2,,
11/03/2021 16:28:39,-15.5,-209.2,,
11/03/2021 16:28:40,-15.5,-208.7,,
11/03/2021 16:28:41,-15.5,-208.3,,
11/03/2021 16:28:42,-15.5,-209.6,,
11/03/2021 16:28:43,-15.6,-209.9,,
11/03/2021 16:28:44,-15.7,-210,,
11/03/2021 16:28:45,-15.7,-209.8,,
11/03/2021 16:28:46,-15.6,-210.2,,
11/03/2021 16:28:47,-15.6,-210.6,,
11/03/2021 16:28:48,-15.5,-210.4,,
11/03/2021 16:28:49,-15.7,-209.3,,
11/03/2021 16:28:50,-15.6,-209.6,,
11/03/2021 16:28:51,-15.6,-209.7,,
11/03/2021 16:28:52,-15.5,-209.9,,
11/03/2021 16:28:53,-15.7,-208.6,,
11/03/2021 16:28:54,-15.6,-209.7,,
11/03/2021 16:28:55,-15.6,-210,,
11/03/2021 16:28:56,-15.5,-211.1,,
11/03/2021 16:28:57,-15.5,-209.8,,
11/03/2021 16:28:58,-15.5,-209,,
11/03/2021 16:28:59,-15.5,-208.9,,
11/03/2021 16:29:00,-15.7,-211,,
11/03/2021 16:29:01,-16.4,-210.2,,
11/03/2021 16:29:02,-16.6,-211.6,,
11/03/2021 16:29:03,-16.7,-210.8,,
11/03/2021 16:29:04,-16.7,-212.4,,
11/03/2021 16:29:05,-16.7,-212.9,,
11/03/2021 16:29:06,-17.3,-213,,
11/03/2021 16:29:07,-17,-213.3,,
11/03/2021 16:29:08,-16.6,-213.9,,
11/03/2021 16:29:09,-15.9,-213.6,,
11/03/2021 16:29:10,-15.7,-212.6,,
11/03/2021 16:29:11,-16.1,-213.1,,
11/03/2021 16:29:12,-17.1,-214.3,,
11/03/2021 16:29:13,-16.9,-214.3,,
11/03/2021 16:29:14,-17.1,-212.7,,
11/03/2021 16:29:15,-16.7,-210.5,,
11/03/2021 16:29:16,-16.9,-211.9,,
11/03/2021 16:29:17,-16.8,-211.1,,
11/03/2021 16:29:18,-16.8,-209.1,,
11/03/2021 16:29:19,-16.3,-209.9,,
11/03/2021 16:29:20,-16.2,-209.1,,
11/03/2021 16:29:21,-15.8,-210.1,,
11/03/2021 16:29:22,-15.7,-210.3,,
11/03/2021 16:29:23,-15.7,-208.7,,
11/03/2021 16:29:24,-16.5,-209.4,,
11/03/2021 16:29:25,-16,-211.3,,
11/03/2021 16:29:26,-15.8,-212.1,,
11/03/2021 16:29:27,-15.8,-213.7,,
11/03/2021 16:29:28,-15.7,-214.6,,
11/03/2021 16:29:29,-16.1,-212.9,,
11/03/2021 16:29:30,-16.4,-212,,
11/03/2021 16:29:31,-16,-209.6,,
11/03/2021 16:29:32,-15.8,-210.6,,
11/03/2021 16:29:33,-15.7,-210.5,,
11/03/2021 16:29:34,-15.7,-210.8,,
11/03/2021 16:29:35,-16.5,-210.5,,
11/03/2021 16:29:36,-16.2,-211.6,,
11/03/2021 16:29:37,-16.1,-211.1,,
11/03/2021 16:29:38,-16.1,-213.5,,
11/03/2021 16:29:39,-15.8,-213,,
11/03/2021 16:29:40,-15.9,-216.9,,
11/03/2021 16:29:41,-16.3,-215.2,,
11/03/2021 16:29:42,-16.1,-212.2,,
11/03/2021 16:29:43,-15.8,-211.8,,
11/03/2021 16:29:44,-16.2,-210.5,,
11/03/2021 16:29:45,-17,-211.4,,
11/03/2021 16:29:46,-17.6,-213.5,,
11/03/2021 16:29:47,-17,-213.1,,
11/03/2021 16:29:48,-17.3,-212.1,,
11/03/2021 16:29:49,-16.5,-212.7,,
11/03/2021 16:29:50,-16.2,-212.8,,
11/03/2021 16:29:51,-16.6,-212.7,,
11/03/2021 16:29:52,-16.2,-210.6,,
11/03/2021 16:29:53,-16,-209.9,,
11/03/2021 16:29:54,-15.9,-210.3,,
11/03/2021 16:29:55,-15.9,-211.8,,
11/03/2021 16:29:56,-15.7,-212.4,,
11/03/2021 16:29:57,-15.6,-212.2,,
11/03/2021 16:29:58,-15.6,-212,,
11/03/2021 16:29:59,-15.6,-212.7,,
11/03/2021 16:30:00,-15.5,-210.9,,
11/03/2021 16:30:01,-15.5,-210.5,,
11/03/2021 16:30:02,-15.7,-211.5,,
11/03/2021 16:30:03,-16.1,-212.9,,
11/03/2021 16:30:04,-16.1,-212.7,,
11/03/2021 16:30:05,-16,-212,,
11/03/2021 16:30:06,-15.9,-213.2,,
11/03/2021 16:30:07,-16.2,-213.1,,
11/03/2021 16:30:08,-16.7,-211.4,,
11/03/2021 16:30:09,-16.2,-210.6,,
11/03/2021 16:30:10,-15.9,-211,,
11/03/2021 16:30:11,-15.7,-209.8,,
11/03/2021 16:30:12,-15.7,-209.9,,
11/03/2021 16:30:13,-15.7,-210.6,,
11/03/2021 16:30:14,-15.6,-210,,
11/03/2021 16:30:15,-15.6,-210.4,,
11/03/2021 16:30:16,-15.5,-209.9,,
11/03/2021 16:30:17,-15.5,-210.4,,
11/03/2021 16:30:18,-15.5,-208.9,,
11/03/2021 16:30:19,-15.5,-208.9,,
11/03/2021 16:30:20,-15.5,-210,,
11/03/2021 16:30:21,-15.5,-209.2,,
11/03/2021 16:30:22,-15.5,-209.3,,
11/03/2021 16:30:23,-15.5,-209.4,,
11/03/2021 16:30:24,-15.8,-209.5,,
11/03/2021 16:30:25,-15.7,-210.7,,
11/03/2021 16:30:26,-15.5,-209.6,,
11/03/2021 16:30:27,-15.5,-211.1,,
11/03/2021 16:30:28,-15.5,-209.8,,
11/03/2021 16:30:29,-15.5,-209.7,,
11/03/2021 16:30:30,-15.5,-209,,
11/03/2021 16:30:31,-15.5,-208,,
11/03/2021 16:30:32,-15.5,-207.5,,
11/03/2021 16:30:33,-15.5,-207.2,,
11/03/2021 16:30:34,-15.5,-207.7,,
11/03/2021 16:30:35,-15.5,-208,,
11/03/2021 16:30:36,-15.5,-207.9,,
11/03/2021 16:30:37,-15.5,-207.8,,
11/03/2021 16:30:38,-15.9,-209.4,,
11/03/2021 16:30:39,-16.3,-209.9,,
11/03/2021 16:30:40,-16.5,-212.1,,
11/03/2021 16:30:41,-16,-212.1,,
11/03/2021 16:30:42,-16.1,-211.2,,
11/03/2021 16:30:43,-15.9,-210.2,,
11/03/2021 16:30:44,-15.9,-211.7,,
11/03/2021 16:30:45,-15.9,-212.1,,
11/03/2021 16:30:46,-15.8,-211.5,,
11/03/2021 16:30:47,-16.1,-211.6,,
11/03/2021 16:30:48,-15.9,-211.5,,
11/03/2021 16:30:49,-15.9,-211.9,,
11/03/2021 16:30:50,-16.1,-212.3,,
11/03/2021 16:30:51,-15.8,-211.9,,
11/03/2021 16:30:52,-15.8,-211.1,,
11/03/2021 16:30:53,-15.7,-212,,
11/03/2021 16:30:54,-15.7,-211.2,,
11/03/2021 16:30:55,-15.9,-212.3,,
11/03/2021 16:30:56,-16.2,-211.6,,
11/03/2021 16:30:57,-15.9,-211.7,,
11/03/2021 16:30:58,-15.7,-211.2,,
11/03/2021 16:30:59,-15.8,-212.4,,
11/03/2021 16:31:00,-15.8,-211.3,,
11/03/2021 16:31:01,-15.8,-210.9,,
11/03/2021 16:31:02,-15.9,-210.2,,
11/03/2021 16:31:03,-15.7,-210.2,,
11/03/2021 16:31:04,-15.6,-209.3,,
11/03/2021 16:31:05,-15.7,-209.3,,
11/03/2021 16:31:06,-15.6,-209.4,,
11/03/2021 16:31:07,-15.6,-209.8,,
11/03/2021 16:31:08,-15.6,-209.8,,
11/03/2021 16:31:09,-15.5,-209.6,,
11/03/2021 16:31:10,-15.5,-209.7,,
11/03/2021 16:31:11,-15.5,-209.1,,
11/03/2021 16:31:12,-15.5,-209.9,,
11/03/2021 16:31:13,-15.5,-208.5,,
11/03/2021 16:31:14,-15.5,-207.8,,
11/03/2021 16:31:15,-15.5,-208,,
11/03/2021 16:31:16,-15.5,-209.3,,
11/03/2021 16:31:17,-15.5,-209.9,,
11/03/2021 16:31:18,-15.7,-210.4,,
11/03/2021 16:31:19,-15.6,-211.8,,
11/03/2021 16:31:20,-15.6,-211.5,,
11/03/2021 16:31:21,-15.6,-211,,
11/03/2021 16:31:22,-15.5,-209.7,,
11/03/2021 16:31:23,-15.5,-209.9,,
11/03/2021 16:31:24,-15.5,-209.5,,
11/03/2021 16:31:25,-15.5,-210,,
11/03/2021 16:31:26,-15.5,-208.5,,
11/03/2021 16:31:27,-15.5,-207.8,,
11/03/2021 16:31:28,-15.5,-207.9,,
11/03/2021 16:31:29,-15.5,-208.5,,
11/03/2021 16:31:30,-15.5,-208.1,,
11/03/2021 16:31:31,-15.6,-210,,
11/03/2021 16:31:32,-15.6,-210.9,,
11/03/2021 16:31:33,-15.6,-211.5,,
11/03/2021 16:31:34,-15.5,-209.5,,
11/03/2021 16:31:35,-15.5,-209.5,,
11/03/2021 16:31:36,-15.5,-208.7,,
11/03/2021 16:31:37,-15.5,-208.4,,
11/03/2021 16:31:38,-15.5,-207.7,,
11/03/2021 16:31:39,-15.5,-208.1,,
11/03/2021 16:31:40,-15.5,-208.1,,
11/03/2021 16:31:41,-15.5,-207.6,,
11/03/2021 16:31:42,-15.5,-207.8,,
11/03/2021 16:31:43,-15.5,-207.4,,
11/03/2021 16:31:44,-15.5,-207.2,,
11/03/2021 16:31:45,-15.5,-207.1,,
11/03/2021 16:31:46,-15.5,-207,,
11/03/2021 16:31:47,-15.5,-207,,
11/03/2021 16:31:48,-15.5,-207.4,,
11/03/2021 16:31:49,-15.5,-207.5,,
11/03/2021 16:31:50,-15.5,-208,,
11/03/2021 16:31:51,-15.5,-207.5,,
11/03/2021 16:31:52,-15.5,-207.8,,
11/03/2021 16:31:53,-15.4,-208,,
11/03/2021 16:31:54,-15.5,-208.4,,
11/03/2021 16:31:55,-15.5,-208.6,,
11/03/2021 16:31:56,-15.7,-210.3,,
11/03/2021 16:31:57,-15.6,-211,,
11/03/2021 16:31:58,-15.6,-209.9,,
11/03/2021 16:31:59,-15.5,-210.2,,
11/03/2021 16:32:00,-15.5,-209.9,,
11/03/2021 16:32:01,-15.5,-210.1,,
11/03/2021 16:32:02,-15.5,-210.4,,
11/03/2021 16:32:03,-15.7,-212.8,,
11/03/2021 16:32:04,-15.6,-211.8,,
11/03/2021 16:32:05,-15.6,-212.5,,
11/03/2021 16:32:06,-15.7,-212.4,,
11/03/2021 16:32:07,-15.6,-212.9,,
11/03/2021 16:32:08,-15.7,-213.7,,
11/03/2021 16:32:09,-15.8,-213.4,,
11/03/2021 16:32:10,-16.1,-212.3,,
11/03/2021 16:32:11,-16.1,-213.4,,
11/03/2021 16:32:12,-16.5,-214.4,,
