,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation
2021-11-03 16:26:11+00:00,-15.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:12+00:00,-15.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:13+00:00,-14.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:14+00:00,-15.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:15+00:00,-15.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:16+00:00,-15.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:17+00:00,-15.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:18+00:00,-15.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:19+00:00,-15.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:20+00:00,-15.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:21+00:00,-15.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:22+00:00,-15.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:23+00:00,-15.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:24+00:00,-15.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:25+00:00,-15.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:26+00:00,-15.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:27+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:28+00:00,-16.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:29+00:00,-16.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:30+00:00,-16.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:31+00:00,-17.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:32+00:00,-17.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:33+00:00,-17.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:34+00:00,-16.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:35+00:00,-16.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:36+00:00,-16.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:26:37+00:00,-16.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
