Operator_Timestamp,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,Stanford_timestamp,Satellite,Team,UnblindingStage,cr_quad_scfh,PipeSize_inch,MeterCode,cr_scfh_mean300,cr_scfh_mean600,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
2021-10-28 18:16:48+00:00,280,2489,3024,1955,1-sigma confidence interval,4.6,45.59,189,2021-10-28 18:16:48+00:00,Landsat 8,Kayrros,2,116668,8,218645,115474,114725,2084,1965,2196,2068,1956,2187
2021-10-29 18:24:58+00:00,348,4675,8052,2326,1-sigma confidence interval,2.6,1,189,2021-10-29 18:24:58+00:00,Sentinel-2,Kayrros,1,281513,8,218645,278775,262686,5015,4751,5298,4725,4482,4963
2021-10-29 18:24:58+00:00,348,7267,10546,3988,1-sigma confidence interval,4.86,46.1,189,2021-10-29 18:24:58+00:00,Sentinel-2,Kayrros,2,281513,8,218645,278775,262686,5022,4752,5314,4728,4493,5007
2021-11-01 18:35:00+00:00,0,0,0,0,0,,,,2021-11-01 18:35:00+00:00,Sentinel-2,Kayrros,1,0,4,308188,0,0,0,0,0,0,0,0
2021-11-01 18:35:00+00:00,0,0,0,0,0,,,,2021-11-01 18:35:00+00:00,Sentinel-2,Kayrros,2,0,4,308188,0,0,0,0,0,0,0,0
2021-11-03 18:25:01+00:00,330,2823,5657,1016,1-sigma confidence interval,2.5,353,189,2021-11-03 18:25:01+00:00,Sentinel-2,Kayrros,1,76596.4,4,308188,77025,77539,1388,1309,1472,1400,1326,1476
2021-11-03 18:25:01+00:00,330,3199,4899,1498,1-sigma confidence interval,2.96,36.9,189,2021-11-03 18:25:01+00:00,Sentinel-2,Kayrros,2,76596.4,4,308188,77025,77539,1387,1309,1468,1394,1321,1466
2021-10-23 18:40:53+00:00,318,1282,2758,522,1-sigma confidence interval,2.9,207,190,2021-10-23 18:40:53+00:00,WV3,Kayrros,1,218027,8,218645,219473,222887,3952,3737,4187,4020,3796,4261
2021-10-23 18:40:53+00:00,318,1578,2053,1236,1-sigma confidence interval,4.31,207,190,2021-10-23 18:40:53+00:00,WV3,Kayrros,2,218027,8,218645,219473,222887,3946,3735,4144,4019,3798,4251
2021-10-27 18:26:30+00:00,422,5051,6454,3648,1-sigma confidence interval,3.36,46.7,191,2021-10-27 18:26:30+00:00,Sentinel-2,SRON,2,188145,8,218645,190817,192626,3441,3252,3634,3468,3280,3663
2021-10-19 18:24:58+00:00,340,3760,1970,6260,Min/max,1.8  [0.8-2.9],175,,2021-10-19 18:24:58+00:00,Sentinel-2,SRON,1,409664.08,8,218645,398438,382613,7177,6801,7585,6882,6514,7260
2021-10-19 18:24:58+00:00,340,4680,3410,6000,Min/max,2.6 [1.7-3.4]  ,197,,2021-10-19 18:24:58+00:00,Sentinel-2,SRON,2,409664.08,8,218645,398438,382613,7175,6823,7558,6881,6507,7237
2021-10-21 18:10:37+00:00,490,1810,1418,2110,Min/max,2.2 [1.7-2.4],186,,2021-10-21 18:10:37+00:00,Landsat 8,SRON,1,231569,8,218645,231569,231569,4193,3942,4426,4172,3948,4393
