,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
20,1658,,32,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,188,4069,6322,1816,+/- 1 sigma,0.96373,4.321728,UnknownSentinel2Direction,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Harvard,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,1.9673333333333332,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7391.886372270072,6992.407733770146,7812.202233500205,7380.943379198541,6972.276993243477,7794.028103347091,7367.975222262451,6970.545249936192,7785.01180464951,7190.448287130488,6803.63435198612,7596.482256028481,6902.5940082910165,6524.038866910017,7288.60296759849
21,1666,,40,,,,2021-10-19 18:24:58+00:00,,,,Methane,340,3760,1970,6260,Min/max,1.8  [0.8-2.9],175,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/SRON,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,1.9673333333333332,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7388.848363210052,6992.883046753095,7809.34004389725,7379.048857479494,6971.827923422271,7795.016478673401,7362.612082530905,6961.250440294065,7781.25366513357,7193.006580104345,6788.616850595118,7604.8037910945795,6905.339660297892,6522.620401521242,7290.573428959083
22,1681,,7,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,170.88 ,7234 ,18:24:58.763092Z,276.50 ,2331,2.40 ,,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/UPV,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,1.9673333333333332,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7393.499792167935,6989.973169367294,7813.240289276593,7378.296002622544,6976.5199559257535,7789.68154172239,7361.873688043779,6961.293224513321,7773.484140957031,7190.646306865121,6794.326010433929,7593.611094053668,6905.015614802828,6525.213118927059,7299.530910146529
23,1692,,18,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,319,6098,7431,4765,1-sigma confidence interval,2.49,14.79,189.0,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Kayrros,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,1.9673333333333332,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7392.993698394124,6986.022946168971,7814.936999555611,7379.140990265438,6969.830933427022,7790.82741231375,7362.128393432016,6956.668708585675,7785.475064692131,7187.023673799708,6791.935339141479,7589.26971951362,6907.310936476807,6526.5095801207,7287.2692787722
24,1706,,32,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,,5684,7053,4315,+/- 1 sigma,1.545715,,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Harvard,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,1.9673333333333332,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7390.302728595735,6988.489791976421,7800.669422826854,7381.881789923286,6975.794073771293,7799.884548001232,7360.354530186353,6964.8321552730085,7776.900872264786,7189.952957462788,6799.70863043526,7588.042823171486,6901.496589657106,6525.313207346342,7291.52984412393
25,1714,,40,,,,2021-10-19 18:24:58+00:00,,,,Methane,340,4680,3410,6000,Min/max,2.6 [1.7-3.4]  ,197,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/SRON,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,1.9673333333333332,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7392.5076546349255,6996.738082569417,7796.981094635622,7379.283910169429,6972.538433095622,7794.450179312,7364.067028143206,6963.033062416141,7772.123264898686,7189.820622977479,6796.462531789674,7591.1950881732655,6903.677510015216,6515.269104930381,7295.589571063412
26,1634,,8,1.0,2.0,,2021-10-21 18:10:37+00:00,,,,Methane,278.21 ,3032 ,,,1012,2.606 ,-86.2 ,,,,2021-10-21 18:10:37+00:00,,Landsat 8/UPV,1,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,3.7921333333333327,2021-10-21 17:55:38+00:00,0.0,2005.0,3552.435,True,14.983333333333333,True,TP,1.0,4177.270429220384,3946.8738209673993,4408.484800726188,4173.6106747973245,3948.7324991206906,4401.19909964002,4178.45980098732,3949.0615210827686,4409.893031806528,4197.122144895105,3953.5051124366914,4441.043922588308,4177.432527887303,3945.427229026517,4409.581342544622
27,1651,,25,1.0,1.0,,2021-10-21 18:10:37+00:00,,,,Methane,319,2171,4958,626,1-sigma confidence interval,2.2,6,189,,,2021-10-21 18:10:37+00:00,,Landsat 8/Kayrros,1,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,3.7921333333333327,2021-10-21 17:55:38+00:00,0.0,2005.0,3552.435,True,14.983333333333333,True,TP,1.0,4174.977581250502,3945.8553213459813,4412.249254249327,4172.080848041474,3942.384860253527,4404.821746938463,4178.510555505213,3947.0657682818323,4409.8359629993,4194.047632712795,3950.885258082972,4435.822131616509,4178.046249957008,3944.6548420276504,4409.206823650361
28,1667,,41,,,,2021-10-21 18:10:37+00:00,,,,Methane,490,1810,1418,2110,Min/max,2.2 [1.7-2.4],186,,,,2021-10-21 18:10:37+00:00,,Landsat 8/SRON,1,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,3.7921333333333327,2021-10-21 17:55:38+00:00,0.0,2005.0,3552.435,True,14.983333333333333,True,TP,1.0,4176.152210761927,3947.64458146517,4416.355608106523,4174.039321764169,3940.3514315470616,4407.464409892545,4178.384579454153,3943.704364187032,4407.953758617318,4197.974215121992,3951.658648705819,4439.439551923677,4179.184990919403,3948.2497461305375,4409.561788108335
29,1682,,8,1.0,2.0,,2021-10-21 18:10:37+00:00,,,,Methane,278.21 ,4085 ,18:10:37.5283260Z,178.88 ,1531,3.98 ,,,,,2021-10-21 18:10:37+00:00,,Landsat 8/UPV,2,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,3.7921333333333327,2021-10-21 17:55:38+00:00,0.0,2005.0,3552.435,True,14.983333333333333,True,TP,1.0,4175.099224364058,3943.208391519799,4411.545611762248,4173.784753806419,3942.776612684666,4405.207944615817,4178.0826605381735,3947.967565267791,4406.687326577117,4191.8302417772975,3953.520514053634,4434.433047286919,4177.324951240742,3948.6775250814417,4409.503792045106
