,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
20,1658,,32,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,188,4069,6322,1816,+/- 1 sigma,0.96373,4.321728,UnknownSentinel2Direction,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Harvard,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7382.110018737015,6986.46973828356,7807.452425820672,7352.260969201985,6981.600435881811,7748.077626906489,7333.344860968912,6958.227833286277,7708.672165320612,7172.378825011315,6799.254217083414,7572.565192639593,6879.608420042899,6519.634868937272,7229.373206965321
21,1666,,40,,,,2021-10-19 18:24:58+00:00,,,,Methane,340,3760,1970,6260,Min/max,1.8  [0.8-2.9],175,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/SRON,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7386.025104884202,6993.279268600801,7838.933817572599,7365.763491748233,7008.997671793,7759.095837331836,7346.048153731052,7004.025029166079,7730.15415403164,7177.478398108697,6800.9231778437,7584.7532588537515,6882.4604933677965,6513.842982479202,7259.621478679158
22,1681,,7,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,170.88 ,7234 ,18:24:58.763092Z,276.50 ,2331,2.40 ,,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/UPV,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7360.850641389669,6958.201573830036,7816.128495239487,7359.676476466854,6991.754555824826,7726.890132722005,7338.651728590895,6934.365307165299,7750.425440483701,7168.605690618741,6795.613553793934,7596.228862481964,6900.303448423594,6508.162390639421,7310.5083194980825
23,1692,,18,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,319,6098,7431,4765,1-sigma confidence interval,2.49,14.79,189.0,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Kayrros,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7371.677093856827,6989.769706432635,7822.111837461171,7349.282218433945,6993.993039092953,7757.529284302372,7355.142989658747,6988.600096416522,7742.424800025692,7181.451589686118,6763.748862924838,7596.603505711346,6886.934464928402,6528.752001500374,7266.0975427348
24,1706,,32,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,,5684,7053,4315,+/- 1 sigma,1.545715,,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Harvard,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7387.021260749836,6989.406550808849,7813.179927907911,7368.635941957392,6976.79734020333,7808.091876054753,7365.782815822681,6976.206593407096,7751.7530296856485,7172.192737046647,6798.811983142861,7614.227021489191,6892.1613809737955,6537.8525916096305,7289.533322994785
25,1714,,40,,,,2021-10-19 18:24:58+00:00,,,,Methane,340,4680,3410,6000,Min/max,2.6 [1.7-3.4]  ,197,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/SRON,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2004.0,2874.49,True,19.366666666666667,True,TP,1.0,7377.903035938209,6987.353250869561,7801.99161928865,7382.470641148331,6993.600951346361,7775.12886449586,7346.141943163281,7005.073557139414,7751.546612328821,7175.303379627467,6823.316496024871,7557.515671243823,6880.500672133809,6507.077701461361,7237.058108863442
26,1634,,8,1.0,2.0,,2021-10-21 18:10:37+00:00,,,,Methane,278.21 ,3032 ,,,1012,2.606 ,-86.2 ,,,,2021-10-21 18:10:37+00:00,,Landsat 8/UPV,1,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,2021-10-21 17:55:38+00:00,0.0,2005.0,3552.435,True,14.983333333333333,True,TP,1.0,4168.559397944883,3955.466183949321,4400.8510105051655,4167.654594365271,3948.4740583314097,4390.021228373496,4171.780813248462,3938.5513110081934,4411.643696145898,4189.453793463621,3935.2286271258777,4443.516688278875,4168.550252123394,3926.3913282233634,4395.188323320749
27,1651,,25,1.0,1.0,,2021-10-21 18:10:37+00:00,,,,Methane,319,2171,4958,626,1-sigma confidence interval,2.2,6,189,,,2021-10-21 18:10:37+00:00,,Landsat 8/Kayrros,1,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,2021-10-21 17:55:38+00:00,0.0,2005.0,3552.435,True,14.983333333333333,True,TP,1.0,4167.866318580354,3944.199422238059,4412.012691165685,4180.974319819081,3954.001970835345,4408.9368422445405,4168.58761207735,3926.4501762849213,4428.545248291522,4194.086573608721,3949.0327346698937,4451.349995635281,4162.65700199547,3953.524791832267,4413.603940597169
28,1667,,41,,,,2021-10-21 18:10:37+00:00,,,,Methane,490,1810,1418,2110,Min/max,2.2 [1.7-2.4],186,,,,2021-10-21 18:10:37+00:00,,Landsat 8/SRON,1,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,2021-10-21 17:55:38+00:00,0.0,2005.0,3552.435,True,14.983333333333333,True,TP,1.0,4167.948235169657,3939.8567347699095,4393.271070966069,4155.639046876647,3943.812525452677,4381.925599622427,4170.879619252722,3950.3238125114904,4421.934914047178,4192.92006813907,3941.5645115271564,4426.290056540501,4172.174110904076,3948.1303268504253,4393.354510109449
29,1682,,8,1.0,2.0,,2021-10-21 18:10:37+00:00,,,,Methane,278.21 ,4085 ,18:10:37.5283260Z,178.88 ,1531,3.98 ,,,,,2021-10-21 18:10:37+00:00,,Landsat 8/UPV,2,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,2021-10-21 17:55:38+00:00,0.0,2005.0,3552.435,True,14.983333333333333,True,TP,1.0,4171.795878110995,3939.8788827413155,4413.818764504408,4165.842080472954,3935.446642383687,4411.890407017807,4169.961121285675,3961.9936809160135,4428.963249600128,4189.410191716207,3947.544738222116,4428.413740699341,4170.982461659564,3915.661746040212,4419.289731823567
30,1699,,25,1.0,1.0,,2021-10-21 18:10:37+00:00,,,,Methane,319,3234,3921,2547,1-sigma confidence interval,3.9,47.46,189.0,,,2021-10-21 18:10:37+00:00,,Landsat 8/Kayrros,2,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,2021-10-21 17:55:38+00:00,0.0,2005.0,3552.435,True,14.983333333333333,True,TP,1.0,4175.6374114558175,3956.9221428046762,4395.967626559237,4164.993119865142,3953.222489850316,4373.147456679119,4179.768261816587,3936.9195376789344,4434.000593549163,4193.421846020335,3956.4982484735906,4467.523599632557,4164.236916086335,3931.4640543560404,4381.1999547344
31,1715,,41,,,,2021-10-21 18:10:37+00:00,,,,Methane,490,2780,2450,3170,Min/max,4.1 [3.9-4.4] ,221,,,,2021-10-21 18:10:37+00:00,,Landsat 8/SRON,2,,231569.0,8.0,218645.0,231569.0,True,,231569.0,231569.0,231569.0,231569.0,231569.0,AZ,2021-10-21 17:55:38+00:00,0.0,2005.0,3552.435,True,14.983333333333333,True,TP,1.0,4177.270620969877,3956.0230521078297,4420.539687570961,4167.9241076806475,3950.4071227775676,4403.087072620073,4170.864651807,3949.7510837326613,4418.20839460244,4181.870285492316,3942.3314058416377,4447.033860102558,4164.48619374543,3925.2308810471573,4403.0935480177195
32,1635,,9,1.0,1.0,,2021-10-22 18:34:54+00:00,,,,Methane,164.92 ,3005 ,,,1011,2.371 ,8.6 ,,,,2021-10-22 18:34:54+00:00,,Sentinel-2/UPV,1,,92870.1,4.0,218645.0,92870.1,False,,92537.35666666667,92536.41500000001,92699.32777777778,93015.67433333333,93858.35216666666,AZ,2021-10-22 18:16:57+00:00,0.0,2006.0,2148.9,True,17.95,True,TP,1.0,1664.9058187162968,1586.4525355694216,1767.9277765136248,1669.3055090399869,1578.6453643444722,1767.0564248116846,1669.4687539644929,1577.0393042264093,1765.973307520711,1673.2861843910096,1584.0095906727606,1764.88805576744,1691.1099400210965,1598.93731207351,1788.3904863661428
33,1645,,19,1.0,1.0,,2021-10-22 18:34:54+00:00,,,,Methane,0,0,,,,,,,,,2021-10-22 18:34:54+00:00,,Sentinel-2/Kayrros,1,,92870.1,4.0,218645.0,92870.1,False,,92537.35666666667,92536.41500000001,92699.32777777778,93015.67433333333,93858.35216666666,AZ,2021-10-22 18:16:57+00:00,0.0,2006.0,2148.9,True,17.95,True,TP,1.0,1666.415850717867,1577.6986968394874,1761.4624182823482,1663.4177922579531,1574.7445360856689,1752.6598641230423,1667.6005858737497,1578.0202900447764,1771.6110184009456,1672.667857372438,1578.5637128311396,1776.7632224444249,1687.009857136722,1594.9158889687544,1784.6372643119375
