,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,Satellite,Team,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
20,1658,,32,1,1,,2021-10-19 18:24:58+00:00,,,,Methane,188,4069,6322,1816,+/- 1 sigma,+/- 1 sigma,0.96373,4.321728,UnknownSentinel2Direction,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Harvard,Sentinel-2,Harvard,1,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,1.967333333,2021-10-19 18:05:36+00:00,0,2004,2874.49,TRUE,19.36666667,TRUE,TP,1,7391.886372,6992.407734,7812.202234,7380.943379,6972.276993,7794.028103,7367.975222,6970.54525,7785.011805,7190.448287,6803.634352,7596.482256,6902.594008,6524.038867,7288.602968
21,1666,,40,,,,2021-10-19 18:24:58+00:00,,,,Methane,340,3760,1970,6260,Min/max,Min/max,1.8  [0.8-2.9],175,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/SRON,Sentinel-2,SRON,1,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,1.967333333,2021-10-19 18:05:36+00:00,0,2004,2874.49,TRUE,19.36666667,TRUE,TP,1,7388.848363,6992.883047,7809.340044,7379.048857,6971.827923,7795.016479,7362.612083,6961.25044,7781.253665,7193.00658,6788.616851,7604.803791,6905.33966,6522.620402,7290.573429
22,1681,,7,1,1,,2021-10-19 18:24:58+00:00,,,,Methane,170.88,7234,18:24:58.763092Z,276.5,2331,UT 1 sigma,2.4,,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/UPV,Sentinel-2,UPV,2,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,1.967333333,2021-10-19 18:05:36+00:00,0,2004,2874.49,TRUE,19.36666667,TRUE,TP,1,7393.499792,6989.973169,7813.240289,7378.296003,6976.519956,7789.681542,7361.873688,6961.293225,7773.484141,7190.646307,6794.32601,7593.611094,6905.015615,6525.213119,7299.53091
23,1692,,18,1,1,,2021-10-19 18:24:58+00:00,,,,Methane,319,6098,7431,4765,1-sigma confidence interval,+/- 1 sigma,2.49,14.79,189,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Kayrros,Sentinel-2,Kayrros,2,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,1.967333333,2021-10-19 18:05:36+00:00,0,2004,2874.49,TRUE,19.36666667,TRUE,TP,1,7392.993698,6986.022946,7814.937,7379.14099,6969.830933,7790.827412,7362.128393,6956.668709,7785.475065,7187.023674,6791.935339,7589.26972,6907.310936,6526.50958,7287.269279
24,1706,,32,1,1,,2021-10-19 18:24:58+00:00,,,,Methane,,5684,7053,4315,+/- 1 sigma,+/- 1 sigma,1.545715,,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Harvard,Sentinel-2,Harvard,2,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,1.967333333,2021-10-19 18:05:36+00:00,0,2004,2874.49,TRUE,19.36666667,TRUE,TP,1,7390.302729,6988.489792,7800.669423,7381.88179,6975.794074,7799.884548,7360.35453,6964.832155,7776.900872,7189.952957,6799.70863,7588.042823,6901.49659,6525.313207,7291.529844
25,1714,,40,,,,2021-10-19 18:24:58+00:00,,,,Methane,340,4680,3410,6000,Min/max,Min/max,2.6 [1.7-3.4]  ,197,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/SRON,Sentinel-2,SRON,2,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,1.967333333,2021-10-19 18:05:36+00:00,0,2004,2874.49,TRUE,19.36666667,TRUE,TP,1,7392.507655,6996.738083,7796.981095,7379.28391,6972.538433,7794.450179,7364.067028,6963.033062,7772.123265,7189.820623,6796.462532,7591.195088,6903.67751,6515.269105,7295.589571
26,1634,,8,1,2,,2021-10-21 18:10:37+00:00,,,,Methane,278.21,3032,,,1012,UT 1 sigma,2.606,-86.2,,,,2021-10-21 18:10:37+00:00,,Landsat 8/UPV,Landsat 8,UPV,1,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,3.792133333,2021-10-21 17:55:38+00:00,0,2005,3552.435,TRUE,14.98333333,TRUE,TP,1,4177.270429,3946.873821,4408.484801,4173.610675,3948.732499,4401.1991,4178.459801,3949.061521,4409.893032,4197.122145,3953.505112,4441.043923,4177.432528,3945.427229,4409.581343
27,1651,,25,1,1,,2021-10-21 18:10:37+00:00,,,,Methane,319,2171,4958,626,1-sigma confidence interval,+/- 1 sigma,2.2,6,189,,,2021-10-21 18:10:37+00:00,,Landsat 8/Kayrros,Landsat 8,Kayrros,1,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,3.792133333,2021-10-21 17:55:38+00:00,0,2005,3552.435,TRUE,14.98333333,TRUE,TP,1,4174.977581,3945.855321,4412.249254,4172.080848,3942.38486,4404.821747,4178.510556,3947.065768,4409.835963,4194.047633,3950.885258,4435.822132,4178.04625,3944.654842,4409.206824
28,1667,,41,,,,2021-10-21 18:10:37+00:00,,,,Methane,490,1810,1418,2110,Min/max,Min/max,2.2 [1.7-2.4],186,,,,2021-10-21 18:10:37+00:00,,Landsat 8/SRON,Landsat 8,SRON,1,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,3.792133333,2021-10-21 17:55:38+00:00,0,2005,3552.435,TRUE,14.98333333,TRUE,TP,1,4176.152211,3947.644581,4416.355608,4174.039322,3940.351432,4407.46441,4178.384579,3943.704364,4407.953759,4197.974215,3951.658649,4439.439552,4179.184991,3948.249746,4409.561788
29,1682,,8,1,2,,2021-10-21 18:10:37+00:00,,,,Methane,278.21,4085,18:10:37.5283260Z,178.88,1531,UT 1 sigma,3.98,,,,,2021-10-21 18:10:37+00:00,,Landsat 8/UPV,Landsat 8,UPV,2,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,3.792133333,2021-10-21 17:55:38+00:00,0,2005,3552.435,TRUE,14.98333333,TRUE,TP,1,4175.099224,3943.208392,4411.545612,4173.784754,3942.776613,4405.207945,4178.082661,3947.967565,4406.687327,4191.830242,3953.520514,4434.433047,4177.324951,3948.677525,4409.503792
30,1699,,25,1,1,,2021-10-21 18:10:37+00:00,,,,Methane,319,3234,3921,2547,1-sigma confidence interval,+/- 1 sigma,3.9,47.46,189,,,2021-10-21 18:10:37+00:00,,Landsat 8/Kayrros,Landsat 8,Kayrros,2,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,3.792133333,2021-10-21 17:55:38+00:00,0,2005,3552.435,TRUE,14.98333333,TRUE,TP,1,4175.227827,3947.303856,4407.164198,4174.49293,3945.385125,4404.87028,4180.358528,3949.87451,4412.882379,4195.205798,3957.434666,4440.806054,4178.358214,3943.395712,4413.895761
31,1715,,41,,,,2021-10-21 18:10:37+00:00,,,,Methane,490,2780,2450,3170,Min/max,Min/max,4.1 [3.9-4.4] ,221,,,,2021-10-21 18:10:37+00:00,,Landsat 8/SRON,Landsat 8,SRON,2,,231569,8,218645,231569,TRUE,,231569,231569,231569,231569,231569,AZ,3.792133333,2021-10-21 17:55:38+00:00,0,2005,3552.435,TRUE,14.98333333,TRUE,TP,1,4177.637017,3949.477296,4411.250691,4173.549139,3943.146451,4411.013708,4179.760915,3951.808527,4406.231927,4194.422522,3948.497617,4442.412242,4178.737105,3944.171901,4414.423884
32,1635,,9,1,1,,2021-10-22 18:34:54+00:00,,,,Methane,164.92,3005,,,1011,UT 1 sigma,2.371,8.6,,,,2021-10-22 18:34:54+00:00,,Sentinel-2/UPV,Sentinel-2,UPV,1,,92870.1,4,218645,92870.1,FALSE,,92537.35667,92536.415,92699.32778,93015.67433,93858.35217,AZ,2.342733333,2021-10-22 18:16:57+00:00,0,2006,2148.9,TRUE,17.95,TRUE,TP,1,1670.274688,1580.431103,1762.507501,1669.809196,1579.090792,1764.39912,1672.378883,1581.357388,1767.694672,1678.431637,1587.828311,1771.423783,1693.197809,1601.026609,1786.16236
33,1645,,19,1,1,,2021-10-22 18:34:54+00:00,,,,Methane,0,0,,,,,,,,,,2021-10-22 18:34:54+00:00,,Sentinel-2/Kayrros,Sentinel-2,Kayrros,1,,92870.1,4,218645,92870.1,FALSE,,92537.35667,92536.415,92699.32778,93015.67433,93858.35217,AZ,2.342733333,2021-10-22 18:16:57+00:00,0,2006,2148.9,TRUE,17.95,TRUE,TP,1,1669.44514,1577.843571,1762.095592,1669.386925,1578.973084,1763.066511,1672.780841,1582.121666,1765.874622,1678.305313,1586.009903,1772.275933,1694.20086,1602.403795,1789.489241
34,1659,,33,1,1,,2021-10-22 18:34:54+00:00,,,,Methane,148,2102,3056,1148,+/- 1 sigma,+/- 1 sigma,1.764591,269.780224,UnknownSentinel2Direction,,,2021-10-22 18:34:54+00:00,,Sentinel-2/Harvard,Sentinel-2,Harvard,1,,92870.1,4,218645,92870.1,FALSE,,92537.35667,92536.415,92699.32778,93015.67433,93858.35217,AZ,2.342733333,2021-10-22 18:16:57+00:00,0,2006,2148.9,TRUE,17.95,TRUE,TP,1,1670.21772,1580.288504,1762.629581,1669.564816,1578.003449,1764.082996,1672.161121,1581.721483,1765.301711,1678.537219,1585.998072,1773.496862,1694.119941,1601.327921,1785.560705
35,1668,,42,,,,2021-10-22 18:34:54+00:00,,,,Methane,330,1160,570,2590,Min/max,Min/max,1.4 [0.6-3.2],92,,,,2021-10-22 18:34:54+00:00,,Sentinel-2/SRON,Sentinel-2,SRON,1,,92870.1,4,218645,92870.1,FALSE,,92537.35667,92536.415,92699.32778,93015.67433,93858.35217,AZ,2.342733333,2021-10-22 18:16:57+00:00,0,2006,2148.9,TRUE,17.95,TRUE,TP,1,1669.873264,1578.814412,1763.611647,1669.630104,1579.269475,1761.656989,1673.872424,1582.519253,1766.162717,1678.706291,1586.929902,1772.600303,1694.102437,1602.018761,1789.80343
36,1683,,9,1,1,,2021-10-22 18:34:54+00:00,,,,Methane,164.92,2773,18:34:54.542039Z,111.71,893,UT 1 sigma,2.08,,,,,2021-10-22 18:34:54+00:00,,Sentinel-2/UPV,Sentinel-2,UPV,2,,92870.1,4,218645,92870.1,FALSE,,92537.35667,92536.415,92699.32778,93015.67433,93858.35217,AZ,2.342733333,2021-10-22 18:16:57+00:00,0,2006,2148.9,TRUE,17.95,TRUE,TP,1,1669.998581,1578.336155,1764.045354,1669.085592,1577.23528,1762.443059,1672.998989,1581.735099,1766.565028,1678.840131,1588.819663,1771.644256,1694.002788,1599.567324,1789.982844
37,1693,,19,1,1,,2021-10-22 18:34:54+00:00,,,,Methane,0,0,,,,,,,,,,2021-10-22 18:34:54+00:00,,Sentinel-2/Kayrros,Sentinel-2,Kayrros,2,,92870.1,4,218645,92870.1,FALSE,,92537.35667,92536.415,92699.32778,93015.67433,93858.35217,AZ,2.342733333,2021-10-22 18:16:57+00:00,0,2006,2148.9,TRUE,17.95,TRUE,TP,1,1669.145887,1578.334911,1762.654919,1668.804942,1576.485086,1762.090451,1672.261475,1579.742497,1766.018436,1679.003971,1588.454087,1772.511524,1693.973216,1600.674279,1790.671105
