,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
20,743,403.0,F6,1.0,1.0,,2021-07-30 15:48:16+00:00,,,,Methane,174.7483906,117.4507156,133.75100940000002,101.1504218,,2.541,,,1.0,,2021-07-30 15:48:00+00:00,Sonic,CarbonMapper,3,,10769.3,2.0,162928.0,10769.3,False,,10738.906666666624,10744.933333333292,10746.722222222157,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,940.075,True,True,TP,1.0,173.6420777927323,157.09151371209788,191.5424217900318,173.67736204011914,157.04376865858438,191.1904851711549,173.63340062570694,157.0157700216447,191.11388657203895
21,351,11.0,11.0,1.0,1.0,,2021-07-30 15:50:20+00:00,,,,Methane,135.532284,305.91889039999995,409.1585529,202.6792279,,2.713584705,,,1.0,,2021-07-30 15:50:03+00:00,NASA-GEOS,CarbonMapper,1,,10746.5,2.0,162928.0,10746.5,False,,10698.509999999978,10696.368333333257,10650.931111111016,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,1231.255,True,True,TP,1.0,172.91818522013295,156.3184729837464,190.72692763445474,172.74824374818593,156.11295974031938,190.42286589916074,172.14891330560292,155.69622042535823,189.3039284307239
22,575,235.0,7,1.0,1.0,,2021-07-30 15:50:20+00:00,,,,Methane,135.532284,292.02401860000003,384.8185988,199.22943850000001,,2.5903333330000002,,,1.0,,2021-07-30 15:50:03+00:00,Sonic,CarbonMapper,2,,10746.5,2.0,162928.0,10746.5,False,,10698.509999999978,10696.368333333257,10650.931111111016,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,1231.255,True,True,TP,1.0,172.86426391755413,156.15330455219691,190.68234900361085,173.09863824058965,156.57781936715247,190.57482444846346,172.2468229783097,155.77621683412963,189.72699411975253
23,744,404.0,F7,1.0,1.0,,2021-07-30 15:50:20+00:00,,,,Methane,196.3797342,258.11010719999996,293.67740939999993,222.542805,,2.5903333330000002,,,1.0,,2021-07-30 15:50:03+00:00,Sonic,CarbonMapper,3,,10746.5,2.0,162928.0,10746.5,False,,10698.509999999978,10696.368333333257,10650.931111111016,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,1231.255,True,True,TP,1.0,172.8834868421309,155.76728542460975,190.21216159041867,172.84484500819366,156.0241160609336,190.31150041900204,172.17351326424864,155.4851983166317,189.26575525752884
24,352,12.0,12.0,1.0,1.0,,2021-07-30 15:52:17+00:00,,,,Methane,93.43446901,228.1839536,294.7329399,161.6349673,,2.713584705,,,1.0,,2021-07-30 15:52:01+00:00,NASA-GEOS,CarbonMapper,1,,10666.4,2.0,162928.0,10666.4,False,,10695.516666666641,10665.244999999944,10638.891111111028,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,1570.6999999999998,True,True,TP,1.0,172.86400681538854,156.26554125002602,190.08359079672275,172.36932577772885,155.84050608465333,189.22350942833054,171.98869372516646,155.52923096594708,189.05755157098
25,576,236.0,8,1.0,1.0,,2021-07-30 15:52:17+00:00,,,,Methane,93.43446901,239.150513,297.3432972,180.9577287,,2.844,,,1.0,,2021-07-30 15:52:01+00:00,Sonic,CarbonMapper,2,,10666.4,2.0,162928.0,10666.4,False,,10695.516666666641,10665.244999999944,10638.891111111028,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,1570.6999999999998,True,True,TP,1.0,172.96719597221775,156.07351966960562,190.3893321944939,172.5530510042342,155.7213954628649,190.2506986094132,171.91248717214685,155.20183072847297,189.30312134556485
26,745,405.0,F8,1.0,1.0,,2021-07-30 15:52:17+00:00,,,,Methane,198.3859874,168.4771701,181.58825380000002,155.3660864,,2.844,,,1.0,,2021-07-30 15:52:01+00:00,Sonic,CarbonMapper,3,,10666.4,2.0,162928.0,10666.4,False,,10695.516666666641,10665.244999999944,10638.891111111028,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,1570.6999999999998,True,True,TP,1.0,172.88308047349807,156.32352348164295,190.21411081685932,172.42366370182538,155.7773000842093,189.71819281987084,172.0285762111492,155.5493784991198,189.54953413320186
27,353,13.0,13.0,1.0,1.0,,2021-07-30 15:54:31+00:00,,,,Methane,131.041978,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:54:10+00:00,NASA-GEOS,CarbonMapper,1,,10652.7,2.0,162928.0,10652.7,False,,10641.893333333299,10644.089999999942,10636.408888888815,TX,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,1978.3000000000002,True,True,ER,-1.0,171.92347894976848,155.34745642076894,189.212770919581,172.05865838899737,155.49403981655965,189.2164127377542,172.0124387525857,155.49627804712702,189.21683694333572
28,354,14.0,14.0,1.0,1.0,,2021-07-30 15:56:20+00:00,,,,Methane,148.18906840000002,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:56:20+00:00,NASA-GEOS,CarbonMapper,1,,3182.2,2.0,162928.0,3182.2,False,,3194.633333333307,3207.699999999926,3214.9622222221265,TX,2021-07-30 15:54:44+00:00,2021-07-30 16:07:54+00:00,2004.0,282.425,True,True,ER,-1.0,51.664515881888164,37.9048303669744,65.38829638348983,51.88157982370691,37.98250080230676,65.59536557784838,52.039276518901154,38.45403877395839,65.99452052306629
29,355,15.0,15.0,1.0,1.0,,2021-07-30 15:58:22+00:00,,,,Methane,140.2640367,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:58:06+00:00,NASA-GEOS,CarbonMapper,1,,3161.7,2.0,162928.0,3161.7,False,,3147.373333333313,3154.866666666591,3162.9888888887804,TX,2021-07-30 15:54:44+00:00,2021-07-30 16:07:54+00:00,2004.0,486.68,True,True,ER,-1.0,50.95288455362463,37.04791254364597,65.01753052907466,50.958820022539754,37.25530365158635,64.96184264684435,51.17219462616587,37.47662314772173,65.00369131249778
30,356,16.0,16.0,1.0,1.0,,2021-07-30 16:00:28+00:00,,,,Methane,132.849539,,#VALUE!,#VALUE!,,2.610192272,,,0.0,,2021-07-30 16:00:11+00:00,NASA-GEOS,CarbonMapper,1,,3156.8,2.0,162928.0,3156.8,False,,3154.526666666644,3156.4916666665863,3149.7788888887844,TX,2021-07-30 15:54:44+00:00,2021-07-30 16:07:54+00:00,2004.0,771.385,True,True,ER,-1.0,51.016967944696894,37.24609801635408,65.19158776631446,51.06809520879719,37.40977003981093,64.97445836462191,51.03148356986071,37.115271522054435,64.7848977993347
31,357,17.0,17.0,1.0,1.0,,2021-07-30 16:02:40+00:00,,,,Methane,123.3288287,160.7826875,252.2714555,69.29391949,,2.610192272,,,1.0,,2021-07-30 16:02:23+00:00,NASA-GEOS,CarbonMapper,1,,3136.5,2.0,162928.0,3136.5,False,,3144.4033333333086,3145.386666666593,3148.0755555554533,TX,2021-07-30 15:54:44+00:00,2021-07-30 16:07:54+00:00,2004.0,1085.435,True,True,TP,1.0,50.643811666854134,37.01109574170619,64.75151863472675,50.737718307087896,36.92947166678248,64.74729347362504,50.85178972434604,37.2806042584018,64.8926282697523
32,577,237.0,9,1.0,1.0,,2021-07-30 16:02:40+00:00,,,,Methane,123.3288287,192.5348878,295.64136560000003,89.42841013,,3.125666667,,,1.0,,2021-07-30 16:02:23+00:00,Sonic,CarbonMapper,2,,3136.5,2.0,162928.0,3136.5,False,,3144.4033333333086,3145.386666666593,3148.0755555554533,TX,2021-07-30 15:54:44+00:00,2021-07-30 16:07:54+00:00,2004.0,1085.435,True,True,TP,1.0,50.878257192534456,37.08708265663936,64.63852826455965,50.68029378117742,36.99834869668717,64.61902565399402,50.90387729009042,36.91599829486632,65.16185040443516
33,746,406.0,F9,1.0,1.0,,2021-07-30 16:02:40+00:00,,,,Methane,192.4214125,115.54583459999999,127.3434642,103.748205,,3.125666667,,,1.0,,2021-07-30 16:02:23+00:00,Sonic,CarbonMapper,3,,3136.5,2.0,162928.0,3136.5,False,,3144.4033333333086,3145.386666666593,3148.0755555554533,TX,2021-07-30 15:54:44+00:00,2021-07-30 16:07:54+00:00,2004.0,1085.435,True,True,TP,1.0,50.7165165871342,37.21342652532712,64.62370048331876,50.87800868401737,36.87561656587235,64.73623959875809,50.84329246082547,37.337144348148534,64.61844948468962
