timestamp,g per s
10/20/2021 17:49:36,3.5176
10/20/2021 17:49:37,3.5178
10/20/2021 17:49:38,3.5174
10/20/2021 17:49:39,3.5164
10/20/2021 17:49:40,3.5147
10/20/2021 17:49:41,3.5129
10/20/2021 17:49:42,3.5123
10/20/2021 17:49:43,3.5127
10/20/2021 17:49:44,3.5129
10/20/2021 17:49:45,3.5122
10/20/2021 17:49:46,3.5112
10/20/2021 17:49:47,3.5104
10/20/2021 17:49:48,3.5098
10/20/2021 17:49:49,3.5092
10/20/2021 17:49:50,3.5094
10/20/2021 17:49:51,3.5114
10/20/2021 17:49:52,3.5125
10/20/2021 17:49:53,3.5129
10/20/2021 17:49:54,3.5124
10/20/2021 17:49:55,3.5114
10/20/2021 17:49:56,3.5109
10/20/2021 17:49:57,3.5107
10/20/2021 17:49:58,3.5106
10/20/2021 17:49:59,3.5099
10/20/2021 17:50:00,3.5087
10/20/2021 17:50:01,3.5076
10/20/2021 17:50:02,3.5057
10/20/2021 17:50:03,3.5028
10/20/2021 17:50:04,3.5005
10/20/2021 17:50:05,3.4938
10/20/2021 17:50:06,3.4966
10/20/2021 17:50:07,3.496
10/20/2021 17:50:08,3.4946
10/20/2021 17:50:09,3.4929
10/20/2021 17:50:10,3.4911
10/20/2021 17:50:11,3.4907
10/20/2021 17:50:12,3.4885
10/20/2021 17:50:13,3.4878
10/20/2021 17:50:14,3.4878
10/20/2021 17:50:15,3.4886
10/20/2021 17:50:16,3.4886
10/20/2021 17:50:17,3.4881
10/20/2021 17:50:18,3.4883
10/20/2021 17:50:19,3.4891
10/20/2021 17:50:20,3.4897
10/20/2021 17:50:21,3.4884
10/20/2021 17:50:22,3.4866
10/20/2021 17:50:23,3.4849
10/20/2021 17:50:24,3.4837
10/20/2021 17:50:25,3.484
10/20/2021 17:50:26,3.4848
10/20/2021 17:50:27,3.486
10/20/2021 17:50:28,3.4874
10/20/2021 17:50:29,3.4886
10/20/2021 17:50:30,3.4895
10/20/2021 17:50:31,3.4899
10/20/2021 17:50:32,3.4904
10/20/2021 17:50:33,3.4919
10/20/2021 17:50:34,3.492
10/20/2021 17:50:35,3.4928
10/20/2021 17:50:36,3.4931
10/20/2021 17:50:37,3.4927
10/20/2021 17:50:38,3.492
10/20/2021 17:50:39,3.4911
10/20/2021 17:50:40,3.4907
10/20/2021 17:50:41,3.4908
10/20/2021 17:50:42,3.4898
10/20/2021 17:50:43,3.4887
10/20/2021 17:50:44,3.488
10/20/2021 17:50:45,3.4874
10/20/2021 17:50:46,3.4875
10/20/2021 17:50:47,3.4882
10/20/2021 17:50:48,3.4898
